TEST CASEID,REC NO,TRAINNo,JRNY DATE(MM-DD-YYYY),SOURCE STN CODE,DESTN STN CODE,CLS CODE,QUOTA CODE,PSGN COUNT,BRDG_STNCODE,RESVN_UPTO_STNCODE,INPUT TKT TYPE,INPUT FARE DTLS(Total Fare),OUTPUT FARE DTLS(Total Fare),EXECUTION STATUS,PNR in NxtGen,PSGN CONC DTLS
TC_203244,203244,59547 - OKHA PASSENGER,04/07/2020,RJT - RAJKOT JN,DWK - DWARKA,SLEEPER - SL,GENERAL - GN,3,RJT,DWK,S,345.00,345,BOOKED OK,PNR No: 8330995641,1%%#2%%#3%%#,
TC_203286,203286,82356 - PNBE SUVIDHA EX,28/07/2020,CSMT - C SHIVAJI MAH T,PNBE - PATNA JN,SLEEPER - SL,GENERAL - GN,1,CSMT,PNBE,E,910.00,910,BOOKED OK,PNR No: 8530995656,1%%#,
TC_203288,203288,82356 - PNBE SUVIDHA EX,28/07/2020,CSMT - C SHIVAJI MAH T,PNBE - PATNA JN,SLEEPER - SL,GENERAL - GN,1,CSMT,PNBE,E,910.00,910,BOOKED OK,PNR No: 8230995607,1%%#,
TC_203289,203289,82356 - PNBE SUVIDHA EX,28/07/2020,CSMT - C SHIVAJI MAH T,PNBE - PATNA JN,SLEEPER - SL,GENERAL - GN,1,CSMT,PNBE,E,910.00,910,BOOKED OK,PNR No: 8730995627,1%%#,
TC_203238,203238,59441 - AHMEDABAD PASS,10/07/2020,MMCT - MUMBAI CENTRAL,ST - SURAT,SLEEPER - SL,GENERAL - GN,1,MMCT,ST,E,125.00,125,BOOKED OK,PNR No: 8330995642,1%%#,
TC_203239,203239,59441 - AHMEDABAD PASS,14/07/2020,MMCT - MUMBAI CENTRAL,ST - SURAT,SLEEPER - SL,GENERAL - GN,1,MMCT,ST,E,125.00,125,BOOKED OK,PNR No: 8804332668,1%%#,
TC_203240,203240,59441 - AHMEDABAD PASS,19/07/2020,MMCT - MUMBAI CENTRAL,ST - SURAT,SLEEPER - SL,GENERAL - GN,2,MMCT,ST,S,250.00,250,BOOKED OK,PNR No: 8530995657,1%%#2%%#,
TC_203241,203241,59441 - AHMEDABAD PASS,30/07/2020,MMCT - MUMBAI CENTRAL,ST - SURAT,SLEEPER - SL,GENERAL - GN,1,MMCT,ST,E,125.00,125,BOOKED OK,PNR No: 8230995608,1%%#,
TC_203242,203242,59547 - OKHA PASSENGER,02/07/2020,RJT - RAJKOT JN,OKHA - OKHA,SLEEPER - SL,GENERAL - GN,1,RJT,OKHA,S,125.00,125,BOOKED OK,PNR No: 8730995628,1%%#,
TC_203243,203243,59547 - OKHA PASSENGER,04/07/2020,BLWR - BILESHWAR,DWK - DWARKA,SLEEPER - SL,GENERAL - GN,2,RJT,DWK,S,240.00,240,BOOKED OK,PNR No: 8330995643,1%%#2%%#,
TC_203244,203244,59547 - OKHA PASSENGER,04/07/2020,RJT - RAJKOT JN,DWK - DWARKA,SLEEPER - SL,GENERAL - GN,3,RJT,DWK,S,345.00,345,BOOKED OK,PNR No: 8804332669,1%%#2%%#3%%#,
TC_203246,203246,59547 - OKHA PASSENGER,04/07/2020,RJT - RAJKOT JN,DWK - DWARKA,SLEEPER - SL,GENERAL - GN,2,RJT,DWK,S,230.00,230,BOOKED OK,PNR No: 8530995658,1%%#2%%#,
